name,specialization,hospital,phone_number,location,consultation_fee,wait_time,city
Assoc. Prof. Dr. Misbah Malik,Gynecologist,Marham,,Lahore,,,Lahore
Assoc. Prof. Dr. Somia Iqtadar,Internal Medicine,Marham,,Lahore,,,Lahore
Asst. Prof. Dr. Sana Younas,Dermatologist,Marham,,Lahore,,,Lahore
Dr. Rohina Gul,Sexologist,Marham,,Lahore,,,Lahore
Dr. Kiran Irfan,Dermatologist,Marham,,Lahore,,,Lahore
Asst. Prof. Dr. Saima Zaki,Gynecologist,Marham,,Lahore,,,Lahore
Assoc. Prof. Dr. Muhammad Farooq,Urologist,Marham,,Lahore,,,Lahore
Prof. Dr. Muhammad Saleem Barech,Neuro Physician,Marham,,Lahore,,,Lahore
Dr. Muhammad Haris Burki,Sexologist,Marham,,Lahore,,,Lahore
Asst. Prof. Dr. Binish Ali,Pediatrician,Marham,,Lahore,,,Lahore
Dr. Tariq Rafiq Khan,Pediatrician,Marham,,Lahore,,,Lahore
Dr. Muhammad Nouman Anjum,General Physician,Marham,,Lahore,,,Lahore
Dr. Tahira Rubab,Psychologist,Marham,,Lahore,,,Lahore
Prof. Dr. Sajjad Naseer,Neuro Physician,Marham,,Lahore,,,Lahore
Dr. Naheed Akhtar Rana,Gynecologist,Marham,,Lahore,,,Lahore
Dr. Sadaf Amin,Dermatologist,Marham,,Lahore,,,Lahore
